File  .text     Size               Crate Name
0.4%   6.2%  15.9KiB                 std std::backtrace_rs::symbolize::gimli::Cache::with_global
0.3%   4.9%  12.7KiB                 std std::backtrace_rs::symbolize::gimli::Context::new
0.3%   3.8%   9.6KiB                 std core::cell::once::OnceCell<T>::try_init
0.3%   3.7%   9.5KiB                 std gimli::read::dwarf::Unit<R>::new
0.2%   2.6%   6.6KiB                 std miniz_oxide::inflate::core::decompress
0.1%   2.0%   5.1KiB                 std gimli::read::unit::parse_attribute
0.1%   1.7%   4.4KiB                 std addr2line::function::Function<R>::parse_children
0.1%   1.5%   3.8KiB                 std core::cell::once::OnceCell<T>::try_init
0.1%   1.4%   3.7KiB                 std gimli::read::rnglists::RngListIter<R>::next
0.1%   1.4%   3.6KiB                 std std::sys::pal::unix::stack_overflow::thread_info::set_current_info
0.1%   1.2%   3.1KiB                 std std::backtrace_rs::symbolize::gimli::elf::<impl std::backtrace_rs::symbolize::gimli::Mapping>::new_debug
0.1%   1.1%   2.8KiB                 std rustc_demangle::demangle
0.1%   1.1%   2.7KiB                 std <rustc_demangle::legacy::Demangle as core::fmt::Display>::fmt
0.1%   1.0%   2.7KiB                 std core::slice::sort::stable::quicksort::quicksort
0.1%   1.0%   2.6KiB                 std core::slice::sort::stable::quicksort::quicksort
0.1%   1.0%   2.6KiB                 std gimli::read::index::UnitIndex<R>::parse
0.1%   1.0%   2.5KiB                 std core::slice::sort::stable::quicksort::quicksort
0.1%   1.0%   2.5KiB                 std gimli::read::line::parse_attribute
0.1%   1.0%   2.5KiB                 std core::slice::sort::stable::quicksort::quicksort
0.1%   1.0%   2.5KiB                 std core::slice::sort::stable::quicksort::quicksort
0.1%   0.9%   2.2KiB                 std core::cell::once::OnceCell<T>::try_init
0.1%   0.8%   2.2KiB                 std alloc::collections::btree::remove::<impl alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node...
0.1%   0.8%   2.1KiB                 std <&str as core::str::pattern::Pattern>::is_contained_in
0.1%   0.8%   2.0KiB                 std <std::backtrace_rs::symbolize::gimli::parse_running_mmaps::MapsEntry as core::str::traits::FromStr>::from_str
0.1%   0.7%   1.9KiB                 std std::rt::lang_start_internal
0.0%   0.7%   1.8KiB                 std std::backtrace_rs::symbolize::gimli::elf::Object::parse
0.0%   0.7%   1.7KiB                 std core::slice::sort::stable::drift::sort
0.0%   0.7%   1.7KiB                 std core::slice::sort::stable::drift::sort
0.0%   0.7%   1.7KiB                 std rustc_demangle::v0::Printer::print_path
0.0%   0.7%   1.7KiB                 std core::slice::sort::stable::drift::sort
0.0%   0.6%   1.7KiB                 std core::slice::sort::stable::drift::sort
0.0%   0.6%   1.7KiB                 std core::slice::sort::stable::drift::sort
0.0%   0.6%   1.6KiB                 std rustc_demangle::v0::Printer::print_const
0.0%   0.6%   1.5KiB                 std gimli::read::unit::DebugInfoUnitHeadersIter<R>::next
0.0%   0.6%   1.5KiB                 std rust_eh_personality
0.0%   0.6%   1.4KiB                 std core::str::count::do_count_chars
0.0%   0.5%   1.4KiB                 std addr2line::lookup::LoopingLookup<T,L,F>::new_lookup
0.0%   0.5%   1.4KiB                 std core::slice::sort::shared::smallsort::small_sort_general
0.0%   0.5%   1.3KiB                 std gimli::read::unit::Attribute<R>::value
0.0%   0.5%   1.3KiB                 std gimli::read::unit::skip_attributes
0.0%   0.5%   1.3KiB                 std core::str::pattern::StrSearcher::new
0.0%   0.5%   1.3KiB                 std std::sys::pal::unix::stack_overflow::imp::drop_handler
0.0%   0.5%   1.3KiB                 std core::fmt::Formatter::pad_integral
0.0%   0.5%   1.3KiB                 std rustc_demangle::v0::Printer::print_type
0.0%   0.5%   1.2KiB                 std addr2line::unit::ResUnit<R>::find_function_or_location
0.0%   0.4%   1.1KiB                 std addr2line::line::render_file
0.0%   0.4%   1.1KiB                 std core::slice::sort::unstable::quicksort::quicksort
0.0%   0.4%   1.1KiB                 std miniz_oxide::inflate::core::init_tree
0.0%   0.4%   1.1KiB                 std miniz_oxide::inflate::core::transfer
0.0%   0.4%   1.1KiB                 std core::fmt::Formatter::pad
0.0%   0.4%   1.1KiB                 std std::backtrace_rs::symbolize::gimli::elf::<impl std::backtrace_rs::symbolize::gimli::Mapping>::load_dwarf_package
0.0%   0.4%   1.0KiB                 std <core::str::lossy::Debug as core::fmt::Debug>::fmt
0.0%   0.4%   1.0KiB                 std std::sys::pal::unix::stack_overflow::imp::make_handler
0.0%   0.4%   1.0KiB                 std <rustc_demangle::v0::Ident as core::fmt::Display>::fmt
0.0%   0.4%   1.0KiB                 std std::backtrace_rs::symbolize::gimli::libs_dl_iterate_phdr::callback
0.0%   0.4%   1.0KiB                 std alloc::collections::btree::map::IntoIter<K,V,A>::dying_next
0.0%   0.4%   1.0KiB                 std alloc::collections::btree::map::IntoIter<K,V,A>::dying_next
0.0%   0.4%   1.0KiB                 std addr2line::function::name_entry
0.0%   0.4%    1006B                 std adler2::Adler32::write_slice
0.0%   0.4%     987B                 std core::str::slice_error_fail_rt
0.0%   0.4%     962B                 std gimli::read::line::FileEntryFormat::parse
0.0%   0.4%     949B                 std <std::path::Components as core::iter::traits::double_ended::DoubleEndedIterator>::next_back
0.0%   0.4%     948B                 std alloc::collections::btree::node::BalancingContext<K,V>::do_merge
0.0%   0.4%     945B                 std std::sys::pal::unix::stack_overflow::imp::signal_handler
0.0%   0.4%     945B                 std std::backtrace_rs::print::BacktraceFrameFmt::print_raw_with_column
0.0%   0.4%     930B                 std <std::path::Components as core::iter::traits::iterator::Iterator>::next
0.0%   0.4%     917B                 std std::backtrace_rs::symbolize::gimli::elf::locate_build_id
0.0%   0.3%     911B                 std alloc::collections::btree::node::BalancingContext<K,V>::bulk_steal_right
0.0%   0.3%     908B                 std rustc_demangle::v0::Printer::print_type::{{closure}}
0.0%   0.3%     901B                 std std::path::Components::as_path
0.0%   0.3%     897B                 std std::backtrace_rs::symbolize::gimli::elf::Object::section
0.0%   0.3%     893B                 std <str as core::fmt::Debug>::fmt
0.0%   0.3%     886B                 std core::slice::sort::shared::smallsort::sort8_stable
0.0%   0.3%     873B                 std <core::str::pattern::StrSearcher as core::str::pattern::Searcher>::next
0.0%   0.3%     846B                 std std::path::PathBuf::_set_extension
0.0%   0.3%     813B                 std gimli::read::unit::EntriesCursor<R>::next_entry
0.0%   0.3%     811B                 std alloc::collections::btree::node::BalancingContext<K,V>::bulk_steal_left
0.0%   0.3%     785B                 std rustc_demangle::v0::Printer::print_const_str_literal
0.0%   0.3%     782B                 std <core::iter::sources::from_fn::FromFn<F> as core::iter::traits::iterator::Iterator>::next
0.0%   0.3%     781B                 std std::io::default_read_to_end
0.0%   0.3%     749B                 std std::path::Path::_strip_prefix
0.0%   0.3%     745B                 std gimli::read::line::parse_file_v5
0.0%   0.3%     736B                 std std::panicking::default_hook::{{closure}}::{{closure}}
0.0%   0.3%     724B                 std addr2line::unit::ResUnit<R>::find_function_or_location::{{closure}}
0.0%   0.3%     712B                 std std::sys::fs::unix::try_statx
0.0%   0.3%     680B                 std std::backtrace_rs::symbolize::gimli::mmap
0.0%   0.3%     674B                 std gimli::read::aranges::ArangeHeader<R,Offset>::parse
0.0%   0.3%     664B                 std std::sys::backtrace::_print_fmt::{{closure}}::{{closure}}
0.0%   0.2%     649B                 std alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btr...
0.0%   0.2%     625B                 std <std::sys::backtrace::BacktraceLock::print::DisplayBacktrace as core::fmt::Display>::fmt
0.0%   0.2%     624B                 std std::panicking::rust_panic_with_hook
0.0%   0.2%     624B                 std <std::io::error::Error as core::fmt::Display>::fmt
0.0%   0.2%     617B                 std alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btr...
0.0%   0.2%     615B                 std <core::fmt::builders::PadAdapter as core::fmt::Write>::write_str
0.0%   0.2%     606B                std? <std::path::Components as core::cmp::PartialEq>::eq
0.0%   0.2%     598B                 std gimli::read::line::FileEntry<R,Offset>::parse
0.0%   0.2%     595B                 std alloc::string::String::from_utf8_lossy
0.0%   0.2%     589B                 std std::io::buffered::bufwriter::BufWriter<W>::flush_buf
0.0%   0.2%     548B                 std rustc_demangle::v0::Printer::print_sep_list
0.0%   0.2%     547B                 std core::char::methods::<impl char>::escape_debug_ext
0.0%   0.2%     547B                 std std::sys::sync::once::futex::Once::call
0.0%   0.2%     523B                 std std::sync::poison::once::Once::call_once::{{closure}}
0.0%   0.2%     519B                 std core::fmt::write
0.0%   0.2%     499B                 std core::str::converts::from_utf8
0.0%   0.2%     495B                 std std::fs::OpenOptions::_open
0.0%   0.2%     485B                 std gimli::read::dwarf::Dwarf<R>::attr_string
0.0%   0.2%     483B             opencl3 opencl3::platform::get_platforms
0.0%   0.2%     479B                 std <core::ops::range::Range<Idx> as core::fmt::Debug>::fmt
0.0%   0.2%     475B                 std alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btr...
0.0%   0.2%     474B                 std std::env::current_dir
0.0%   0.2%     473B                 std addr2line::line::path_push
0.0%   0.2%     472B                 std <core::str::pattern::CharSearcher as core::str::pattern::Searcher>::next_match
0.0%   0.2%     465B                 std rustc_demangle::v0::Printer::print_sep_list
0.0%   0.2%     463B                 std miniz_oxide::inflate::core::apply_match
0.0%   0.2%     463B              memchr memchr::arch::x86_64::memchr::memchr_raw::detect
0.0%   0.2%     461B                 std rustc_demangle::v0::Parser::ident
0.0%   0.2%     459B                 std std::backtrace_rs::print::BacktraceFrameFmt::print_fileline
0.0%   0.2%     459B                 std std::io::Write::write_all_vectored
0.0%   0.2%     458B                 std std::sys::fs::unix::readlink
0.0%   0.2%     440B                 std std::env::current_exe
0.0%   0.2%     431B              memchr memchr::arch::x86_64::memchr::memchr_raw::find_sse2
0.0%   0.2%     431B                 std std::sys::sync::rwlock::futex::RwLock::read_contended
0.0%   0.2%     418B                 std std::panicking::default_hook
0.0%   0.2%     413B                 std addr2line::function::name_attr
0.0%   0.2%     409B                 std rustc_demangle::v0::Printer::print_quoted_escaped_chars
0.0%   0.2%     403B                 std std::backtrace_rs::symbolize::gimli::elf::Object::build_id
0.0%   0.2%     402B                 std core::fmt::Write::write_char
0.0%   0.2%     398B                 std <core::str::lossy::Utf8Chunks as core::iter::traits::iterator::Iterator>::next
0.0%   0.2%     398B                 std std::panicking::default_hook::{{closure}}
0.0%   0.2%     394B                 std alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btr...
0.0%   0.2%     394B                 std alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btr...
0.0%   0.1%     390B                 std core::fmt::builders::DebugStruct::field
0.0%   0.1%     387B                 std rustc_demangle::v0::Printer::in_binder
0.0%   0.1%     386B                 std std::fs::buffer_capacity_required
0.0%   0.1%     382B                 std rustc_demangle::v0::Printer::in_binder
0.0%   0.1%     373B                 std alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btr...
0.0%   0.1%     366B                 std core::str::<impl str>::trim_start_matches
0.0%   0.1%     362B                 std gimli::read::abbrev::Attributes::push
0.0%   0.1%     361B                 std rustc_demangle::v0::Printer::print_const_uint
0.0%   0.1%     361B                 std std::env::_var_os
0.0%   0.1%     357B                 std core::slice::sort::stable::driftsort_main
0.0%   0.1%     357B                 std core::slice::sort::shared::smallsort::sort4_stable
0.0%   0.1%     356B                 std core::num::<impl usize>::from_ascii_radix
0.0%   0.1%     348B                 std core::slice::sort::stable::driftsort_main
0.0%   0.1%     346B                 std std::io::impls::<impl std::io::Write for alloc::vec::Vec<u8,A>>::write_vectored
0.0%   0.1%     344B                 std std::alloc::default_alloc_error_hook
0.0%   0.1%     343B                 std std::sys::env::unix::getenv::{{closure}}
0.0%   0.1%     337B                 std addr2line::Context<R>::find_unit
0.0%   0.1%     336B                 std core::slice::sort::stable::driftsort_main
0.0%   0.1%     336B                 std core::slice::sort::stable::driftsort_main
0.0%   0.1%     336B                 std core::slice::sort::stable::driftsort_main
